Age,Gender,Educational Qualification,Location,Tenure,Monthly Salary,Incentive Earnings,Attendance %,Leave Utilization,Distance from Workplace,Number of Transfers,Performance Rating,Training Hours,Promotion History,Manager Effectiveness Score,Employee Engagement Score,Overtime Hours,Previous Attrition Label
46,Female,Masters,Khulna,8,111217,6672.28,90.53,5,18,2,1,44,3,6,4,15,Yes
48,Male,Masters,Sylhet,3,148513,18921.69,77.28,9,13,0,4,86,3,10,4,29,No
49,Female,High School,Barisal,10,57252,5833.74,85.82,15,29,1,4,64,2,1,10,23,No
37,Male,Bachelors,Dhaka,6,98332,14831.79,80.68,24,11,4,5,58,3,10,10,2,No
36,Male,Bachelors,Khulna,6,97799,18841.46,81.36,15,13,2,4,86,1,3,3,28,No
24,Male,Masters,Barisal,13,87185,10709.91,87.6,20,24,1,5,68,1,5,5,41,No
58,Female,Bachelors,Chittagong,9,103313,12390.18,95.31,14,26,4,1,92,1,5,4,11,No
28,Female,Bachelors,Rajshahi,9,66538,9860.11,93.59,19,13,0,1,31,0,2,7,26,Yes
42,Male,PhD,Chittagong,4,45343,2971.08,89.77,11,12,1,5,94,1,3,10,28,No
30,Female,High School,Rajshahi,9,130689,11504.02,88.49,19,14,4,3,70,3,9,7,1,No
39,Male,Bachelors,Sylhet,13,105398,19798.69,85.68,20,13,4,4,89,3,1,6,28,Yes
25,Male,Bachelors,Khulna,6,66232,9967.35,99.32,10,25,3,1,39,1,1,7,39,Yes
46,Male,Bachelors,Dhaka,2,145026,7543.76,89.0,15,9,4,4,78,0,2,7,8,Yes
35,Male,High School,Khulna,10,128185,10343.74,81.35,21,14,3,3,69,1,8,8,43,Yes
30,Male,High School,Rajshahi,14,78106,11905.35,80.75,19,1,0,4,15,0,6,1,27,No
47,Female,Bachelors,Dhaka,11,139322,22940.74,90.28,20,9,0,3,94,0,4,3,36,No
23,Female,Masters,Khulna,6,106227,18693.71,88.07,6,4,2,2,20,1,7,3,22,Yes
41,Male,Bachelors,Dhaka,2,78079,7325.88,75.19,8,28,3,3,33,0,6,5,12,Yes
49,Male,Bachelors,Rajshahi,8,50028,9488.02,95.75,23,12,4,1,88,3,9,10,4,No
28,Male,Bachelors,Sylhet,4,67135,8925.06,92.6,10,24,2,5,60,1,6,7,31,No
29,Male,Masters,Sylhet,5,56066,8661.12,91.55,22,29,2,5,28,3,2,10,27,Yes
56,Male,Masters,Khulna,8,144599,20173.13,76.72,15,14,0,4,59,0,3,6,14,Yes
35,Female,Bachelors,Chittagong,14,123717,8463.6,84.05,13,9,4,2,90,2,9,4,23,No
38,Male,Bachelors,Rajshahi,11,108470,21093.86,98.38,7,3,3,4,12,1,7,6,31,No
57,Female,High School,Khulna,8,45910,3141.68,96.56,6,6,0,3,12,2,6,7,20,No
25,Female,High School,Khulna,12,138018,12177.64,82.14,22,3,2,5,40,2,5,4,4,No
23,Male,Bachelors,Sylhet,14,32141,5529.67,78.93,19,1,1,3,56,2,3,8,36,No
27,Female,Masters,Dhaka,12,70950,10130.92,86.23,22,26,2,5,17,2,4,5,35,No
25,Female,Masters,Rajshahi,6,80723,14184.84,83.9,23,22,1,5,26,3,1,3,27,No
50,Female,Bachelors,Dhaka,4,41225,5250.43,92.06,19,21,0,5,54,1,5,2,31,No
39,Male,Masters,Barisal,1,125250,13345.26,99.16,21,3,3,1,69,3,7,1,22,No
47,Male,Masters,Barisal,12,112123,21110.16,84.08,22,14,4,3,84,0,2,4,15,No
55,Male,Bachelors,Rajshahi,7,57959,3213.12,76.56,22,20,1,4,30,1,8,2,49,No
31,Male,Bachelors,Chittagong,8,74192,13237.3,97.44,15,2,4,2,79,1,10,3,9,Yes
57,Male,Masters,Barisal,9,104711,8860.92,75.95,22,12,0,4,30,3,6,1,28,No
35,Female,Bachelors,Sylhet,2,35051,6214.91,98.82,7,26,0,3,67,0,10,6,26,No
52,Male,Masters,Chittagong,1,96428,6834.77,91.61,17,10,0,2,64,2,3,4,34,No
36,Female,PhD,Khulna,4,149212,20446.94,98.54,18,13,3,4,37,0,2,5,41,No
29,Female,Bachelors,Barisal,13,28449,5212.32,79.99,8,20,1,2,90,3,8,8,44,Yes
35,Male,Masters,Sylhet,5,66095,7999.54,76.02,22,4,4,3,91,3,4,4,23,No
44,Male,Masters,Khulna,10,129213,20930.57,87.21,9,19,2,5,84,3,7,6,22,No
42,Female,Bachelors,Chittagong,12,102929,17570.06,86.27,18,22,0,3,55,2,7,3,2,No
37,Female,Bachelors,Rajshahi,1,54190,8696.09,83.29,16,1,4,1,53,1,10,8,35,No
39,Female,High School,Khulna,5,125245,23646.19,98.94,11,25,4,2,98,0,9,3,44,Yes
45,Male,Bachelors,Dhaka,6,122069,14285.14,95.56,16,11,3,3,34,0,10,7,13,No
47,Male,Bachelors,Rajshahi,3,51141,3885.12,91.54,12,26,1,5,80,2,8,7,3,No
46,Male,High School,Rajshahi,12,127525,7290.82,79.07,7,16,3,5,58,3,8,3,43,No
50,Male,High School,Chittagong,7,48908,4253.48,93.36,5,19,3,3,55,0,7,3,47,No
36,Female,High School,Chittagong,14,129847,9281.41,93.18,7,19,4,4,99,1,10,10,41,Yes
22,Female,Masters,Sylhet,6,145910,19507.05,85.63,15,12,1,3,72,0,5,10,31,No
46,Female,PhD,Sylhet,4,148268,11526.62,98.12,22,3,1,5,86,3,9,8,19,Yes
28,Female,PhD,Dhaka,3,57322,3200.86,79.17,11,23,1,3,97,0,7,3,16,Yes
30,Female,Bachelors,Rajshahi,5,75710,4194.22,81.68,13,24,0,1,21,3,3,2,28,Yes
45,Male,Masters,Dhaka,3,39012,6816.78,76.58,8,18,1,4,87,1,6,5,38,Yes
22,Male,Masters,Dhaka,10,59889,8307.65,94.89,14,17,4,3,66,2,3,7,31,Yes
29,Female,Bachelors,Chittagong,9,42412,4398.67,90.54,22,5,0,5,82,3,6,8,3,Yes
45,Male,Bachelors,Dhaka,9,121150,22307.86,82.87,20,16,2,3,73,3,8,1,23,No
32,Female,High School,Dhaka,6,135030,8173.3,79.1,16,24,3,3,40,0,9,2,43,No
38,Female,Masters,Khulna,13,49657,9784.83,76.0,23,14,1,2,13,2,2,7,41,Yes
29,Male,Bachelors,Sylhet,11,30656,4366.76,79.17,7,19,2,3,63,3,6,9,1,Yes
56,Female,Bachelors,Sylhet,6,33967,2633.11,86.33,12,6,1,1,92,0,3,3,13,No
56,Female,Bachelors,Rajshahi,12,109958,16698.26,81.18,23,3,3,5,74,1,7,8,39,Yes
54,Female,Bachelors,Sylhet,14,40764,6705.97,81.47,13,6,4,2,15,2,4,10,41,No
26,Female,Bachelors,Barisal,4,40873,4675.93,96.89,23,12,4,3,74,0,5,3,37,Yes
49,Female,Bachelors,Rajshahi,4,119485,21417.08,87.88,21,20,3,4,98,2,10,4,33,Yes
28,Male,High School,Khulna,2,134383,9757.53,93.23,17,11,2,1,31,3,6,2,45,Yes
30,Male,Masters,Sylhet,10,76030,6981.5,75.89,6,7,0,1,26,0,8,9,42,No
29,Female,Bachelors,Khulna,4,92807,5941.86,84.13,8,27,0,1,68,1,2,5,1,No
33,Female,Bachelors,Sylhet,8,26607,2171.97,86.98,15,26,1,2,38,1,4,5,35,No
55,Male,Bachelors,Sylhet,13,44523,3820.49,79.66,6,1,3,3,76,0,4,4,5,No
54,Male,Bachelors,Khulna,10,73447,13781.96,78.0,8,16,3,1,26,0,6,5,35,No
44,Female,Bachelors,Dhaka,2,74757,4613.74,96.76,8,16,0,3,11,2,4,1,21,Yes
45,Female,Bachelors,Dhaka,9,144423,16480.44,98.49,24,17,2,4,41,0,5,10,4,No
58,Female,Masters,Dhaka,14,118526,15391.76,76.97,5,15,3,3,31,2,5,10,37,No
56,Female,Masters,Barisal,1,94201,17408.72,83.73,15,21,4,3,67,3,8,6,40,Yes
43,Male,Masters,Dhaka,13,106844,21331.88,98.96,6,9,4,3,62,0,4,4,21,No
48,Male,High School,Sylhet,2,96388,15712.04,77.08,23,5,3,5,95,3,6,4,47,No
56,Female,Bachelors,Chittagong,2,30462,5958.94,91.09,12,20,2,2,56,1,7,5,10,Yes
22,Male,Masters,Khulna,11,141832,23837.02,99.31,24,8,4,3,13,2,8,1,42,No
56,Male,Bachelors,Chittagong,13,56795,11045.51,99.46,8,29,2,1,47,2,9,4,30,Yes
58,Male,High School,Barisal,14,94806,14798.33,86.78,20,21,0,5,22,1,10,10,41,No
35,Female,Bachelors,Chittagong,6,73465,4552.22,79.07,19,1,1,3,70,3,8,3,28,Yes
24,Female,High School,Rajshahi,14,86109,9496.79,80.05,9,7,0,5,96,2,4,5,32,Yes
22,Male,Bachelors,Dhaka,7,115027,16907.77,97.24,9,11,1,2,73,1,4,10,21,No
26,Male,PhD,Barisal,13,75528,7749.76,97.79,19,20,4,5,86,1,10,5,48,No
47,Female,Bachelors,Sylhet,3,61230,5572.39,90.2,21,26,1,1,93,1,5,8,26,Yes
35,Other,Bachelors,Dhaka,11,73242,10005.58,94.15,7,21,1,3,42,0,3,1,7,Yes
48,Male,PhD,Dhaka,9,90883,17270.07,93.5,22,13,3,1,47,3,2,3,47,Yes
30,Male,PhD,Chittagong,5,139688,7717.38,91.55,15,22,1,4,38,1,2,5,5,No
36,Male,Bachelors,Rajshahi,5,123366,20402.85,95.68,10,13,3,5,70,3,9,3,45,Yes
36,Female,Bachelors,Dhaka,11,26783,4242.67,92.14,16,7,1,5,41,2,8,6,24,Yes
47,Male,Masters,Khulna,12,53390,10389.32,88.35,21,11,3,5,20,0,6,10,33,Yes
34,Male,Masters,Khulna,4,33417,6336.09,80.92,18,18,4,2,27,1,9,3,8,Yes
53,Female,Bachelors,Dhaka,9,97102,15957.25,93.6,10,1,4,1,54,1,5,6,35,No
53,Female,Masters,Chittagong,8,42426,5433.13,86.84,14,12,1,4,30,1,10,8,30,Yes
25,Male,Bachelors,Chittagong,12,55750,4495.69,82.37,20,3,2,2,21,2,1,4,18,No
51,Female,Bachelors,Sylhet,4,83188,10962.96,95.05,22,26,4,2,29,0,8,8,48,No
58,Male,Bachelors,Barisal,4,35872,5911.81,92.42,24,28,0,3,16,3,3,7,0,No
44,Female,Bachelors,Barisal,2,119231,21980.28,98.43,10,1,0,4,80,3,9,4,23,No
36,Male,Masters,Barisal,9,73086,12311.83,79.14,23,4,3,5,11,3,1,3,33,No
50,Female,Bachelors,Rajshahi,3,91770,7276.45,91.23,7,6,2,5,52,3,3,5,16,No
57,Male,High School,Chittagong,4,125288,17534.42,81.11,16,5,3,3,30,3,1,5,33,No
34,Female,Bachelors,Sylhet,14,119368,11916.03,97.59,20,29,1,5,38,3,1,7,34,Yes
53,Female,Bachelors,Khulna,7,149158,7663.86,77.49,7,11,4,1,41,3,6,1,35,Yes
28,Female,Bachelors,Barisal,10,108514,8684.72,91.4,20,20,2,5,54,0,4,9,12,No
43,Female,Bachelors,Khulna,8,113177,7580.95,94.78,8,23,3,1,85,0,10,2,24,Yes
49,Female,Bachelors,Khulna,8,117663,20756.68,83.87,24,13,3,3,86,2,4,9,11,No
23,Male,Masters,Dhaka,4,59720,5301.7,98.85,17,11,0,3,68,1,5,9,20,No
27,Male,High School,Rajshahi,7,43079,3993.63,96.27,8,27,1,1,12,0,3,3,36,Yes
49,Female,Bachelors,Sylhet,10,42338,8213.17,82.37,8,6,3,5,48,1,2,7,45,No
49,Male,Masters,Rajshahi,1,28291,3023.26,75.19,11,19,0,3,60,2,10,3,37,No
41,Female,Bachelors,Dhaka,6,99084,5096.67,82.42,16,25,2,3,17,0,8,8,0,No
51,Other,Bachelors,Sylhet,6,137808,12757.84,82.03,6,15,3,1,55,2,7,8,47,No
32,Male,PhD,Sylhet,6,135091,9171.99,97.25,20,21,0,3,75,0,10,3,5,No
49,Female,Bachelors,Chittagong,12,124272,8130.03,99.18,11,13,1,5,15,0,4,5,44,No
46,Male,High School,Rajshahi,2,74393,4584.33,76.76,23,10,4,3,67,3,2,7,44,No
54,Female,Bachelors,Rajshahi,8,118558,16478.25,86.78,15,1,2,1,50,1,9,1,10,No
22,Male,High School,Chittagong,14,94770,7430.17,88.71,5,13,3,5,88,2,8,3,15,No
48,Male,PhD,Khulna,5,51720,5388.52,77.32,13,6,0,4,63,3,4,1,21,Yes
34,Female,Bachelors,Dhaka,5,131642,23603.76,84.44,9,21,3,1,85,0,5,2,45,Yes
24,Female,Masters,Rajshahi,2,130653,14848.81,82.93,21,26,4,4,50,0,10,7,10,No
27,Female,Masters,Chittagong,4,38368,7188.39,88.4,5,24,3,3,57,2,6,7,36,Yes
29,Male,Bachelors,Sylhet,12,79313,9889.59,91.53,21,20,3,5,79,1,4,3,25,Yes
48,Male,Bachelors,Barisal,9,72969,8013.86,92.59,16,12,0,3,36,2,2,6,25,No
30,Female,High School,Chittagong,9,73838,12002.98,78.42,17,17,4,5,56,0,5,6,41,No
58,Male,Bachelors,Barisal,6,33734,2056.97,95.32,15,27,2,2,86,3,1,2,20,Yes
54,Female,High School,Khulna,11,132187,8383.53,91.96,17,18,0,3,32,2,7,9,25,No
45,Female,Masters,Dhaka,9,124329,18375.34,97.23,17,24,4,3,83,3,9,8,14,No
36,Female,PhD,Barisal,4,37197,4576.76,86.23,10,26,4,3,23,1,3,2,38,Yes
53,Female,Bachelors,Khulna,11,93895,15827.16,97.35,10,8,3,1,70,1,6,4,34,No
53,Male,Bachelors,Barisal,1,128561,24097.55,96.64,24,29,1,5,76,3,9,9,10,No
45,Female,Masters,Sylhet,2,145424,15742.88,85.96,14,14,1,5,85,1,4,4,8,No
33,Male,Bachelors,Sylhet,13,81831,11412.27,84.53,23,5,2,5,34,3,6,7,41,No
23,Female,Masters,Sylhet,1,126255,15795.07,98.32,7,22,3,1,74,3,3,5,22,Yes
24,Male,Bachelors,Sylhet,8,83073,16385.45,92.88,11,2,1,5,33,3,9,10,3,No
58,Female,Bachelors,Chittagong,9,97925,17103.84,98.21,9,27,0,3,62,1,7,6,29,No
38,Female,Masters,Sylhet,10,137970,25767.37,94.92,12,28,2,4,82,3,7,1,27,No
23,Male,Bachelors,Sylhet,12,105488,9298.87,90.23,9,25,3,2,59,1,4,4,24,Yes
23,Male,Masters,Chittagong,6,119611,19840.95,77.9,16,22,0,5,10,3,6,5,21,Yes
49,Female,Masters,Sylhet,2,109475,9833.15,82.29,8,28,1,1,48,3,8,6,24,No
44,Male,High School,Khulna,6,137531,11182.84,99.22,23,25,1,1,83,1,6,6,25,No
58,Male,High School,Khulna,9,75302,14430.87,82.99,22,11,1,5,53,3,6,5,49,No
53,Male,PhD,Rajshahi,12,40624,2148.83,77.33,7,26,1,4,14,3,4,3,28,No
54,Male,Masters,Khulna,3,92271,17975.16,92.69,11,3,4,5,77,1,8,2,45,Yes
22,Female,High School,Dhaka,9,49315,3569.88,93.35,12,22,2,1,81,0,10,7,40,No
40,Female,Masters,Dhaka,2,42422,7335.43,82.14,19,26,2,2,89,2,8,1,31,No
23,Male,Bachelors,Dhaka,11,64137,5861.38,82.44,21,16,1,4,74,1,9,5,25,No
47,Male,Bachelors,Chittagong,5,97663,10020.75,86.72,23,21,2,5,88,3,6,4,27,No
53,Male,Masters,Khulna,11,126216,10414.54,75.54,8,16,0,2,97,2,2,7,19,No
27,Male,High School,Dhaka,2,73232,10093.35,94.73,20,9,0,5,24,2,4,2,47,Yes
53,Male,Masters,Rajshahi,7,144528,14772.83,82.93,17,13,2,4,59,3,4,8,1,No
25,Male,Bachelors,Chittagong,11,103142,15327.82,96.34,16,10,1,1,15,3,8,9,22,Yes
32,Male,Bachelors,Rajshahi,10,57743,3022.68,95.07,8,17,3,4,75,0,5,10,38,No
38,Female,Bachelors,Khulna,9,124546,7429.95,91.54,16,25,1,3,78,3,4,1,4,No
59,Male,Bachelors,Sylhet,7,40636,2639.27,83.12,21,21,4,5,48,2,8,5,20,No
45,Female,Bachelors,Rajshahi,12,115884,13077.4,87.91,13,17,3,2,38,3,3,4,21,No
26,Female,High School,Sylhet,5,35108,6046.28,86.12,16,10,4,2,97,2,2,5,48,Yes
55,Female,Bachelors,Chittagong,4,98634,18072.38,83.47,19,8,2,4,55,1,4,9,10,No
27,Female,Bachelors,Rajshahi,12,61180,5305.63,96.2,24,7,4,4,40,1,1,3,29,Yes
43,Male,High School,Rajshahi,4,43883,5974.91,87.09,6,14,2,4,33,2,1,1,27,Yes
32,Female,Masters,Barisal,10,69400,11468.68,95.82,13,22,4,2,24,1,5,3,35,Yes
37,Female,Bachelors,Chittagong,8,70999,6625.94,77.63,18,18,3,1,85,0,1,4,16,No
54,Male,Bachelors,Chittagong,10,72951,8123.18,78.53,8,21,4,2,29,2,4,2,20,Yes
30,Female,Bachelors,Dhaka,13,32160,4135.65,99.43,8,19,1,1,13,2,8,1,36,No
27,Female,Bachelors,Khulna,10,80262,5636.9,89.69,10,18,2,4,67,3,8,1,35,No
37,Male,High School,Rajshahi,14,44929,2421.55,87.74,9,14,0,3,86,0,2,8,24,Yes
50,Male,Bachelors,Rajshahi,10,108133,7885.15,88.08,21,10,4,2,70,3,3,4,23,Yes
24,Male,Bachelors,Chittagong,10,36123,5202.73,80.38,17,1,2,4,19,0,3,2,29,Yes
41,Female,Masters,Chittagong,10,140106,8552.45,92.97,24,9,0,2,50,0,1,10,41,Yes
57,Female,Masters,Khulna,1,53357,4186.09,77.12,21,18,2,4,62,0,3,3,34,Yes
40,Female,Bachelors,Chittagong,5,95496,9614.35,89.33,23,13,2,2,96,2,8,8,20,No
47,Female,High School,Sylhet,14,58556,3611.76,89.27,5,27,0,5,80,1,6,6,5,No
24,Male,Bachelors,Sylhet,2,108791,8567.82,97.85,21,17,0,2,85,1,5,8,20,No
40,Male,High School,Barisal,13,86934,16229.75,88.15,7,23,3,5,57,3,10,10,7,No
41,Female,High School,Sylhet,11,103886,5495.04,78.43,18,25,4,1,24,3,9,5,4,No
53,Female,Bachelors,Sylhet,9,55881,8271.21,89.32,16,22,4,2,16,1,7,3,39,No
28,Other,Bachelors,Khulna,7,43409,4673.47,77.28,19,16,2,1,81,1,6,6,9,No
54,Male,Bachelors,Rajshahi,10,80416,12134.56,80.09,10,24,1,3,80,0,5,10,30,No
39,Male,High School,Sylhet,8,123171,17035.01,75.78,24,11,1,5,52,3,5,8,29,Yes
22,Female,High School,Barisal,6,92982,7766.3,87.83,6,23,2,2,13,3,10,5,20,No
32,Female,High School,Chittagong,9,147117,26051.69,77.11,8,9,3,1,60,3,9,5,35,Yes
49,Female,High School,Sylhet,6,55657,6889.84,86.73,17,7,0,4,80,3,10,3,26,No
46,Female,Bachelors,Barisal,7,111743,19374.05,98.32,17,29,2,1,68,1,6,3,37,No
44,Male,Bachelors,Khulna,7,73951,8201.3,92.99,21,22,4,2,50,1,4,8,34,No
52,Female,High School,Chittagong,9,33752,6672.87,76.94,10,1,1,3,70,2,4,1,31,Yes
51,Female,Bachelors,Barisal,11,142339,23567.55,80.61,15,9,1,5,39,2,4,4,25,No
56,Female,Bachelors,Sylhet,8,38440,7491.67,91.84,23,10,1,4,27,1,6,9,3,No
28,Female,High School,Rajshahi,13,69864,8883.14,97.37,20,16,3,1,39,0,1,6,26,No
37,Male,High School,Chittagong,1,74691,9041.62,75.82,12,21,4,2,16,1,9,6,35,Yes
47,Male,Bachelors,Chittagong,4,97035,15847.57,95.31,5,29,3,2,61,0,2,10,36,No
23,Other,Bachelors,Rajshahi,7,111675,20329.73,89.05,14,18,0,5,57,3,2,7,26,Yes
22,Male,Bachelors,Chittagong,11,105303,20494.27,88.65,6,14,2,4,32,2,5,7,46,No
33,Female,High School,Sylhet,8,47343,4671.94,98.95,23,28,2,1,46,0,4,6,47,Yes
26,Male,Masters,Chittagong,7,118248,20079.18,93.69,18,11,1,1,80,3,3,9,5,Yes
58,Female,Bachelors,Sylhet,12,44673,3645.18,96.25,7,24,1,1,62,1,5,8,17,No
53,Female,Bachelors,Rajshahi,3,84954,11200.01,83.85,13,29,0,5,54,2,7,8,25,No
30,Female,Masters,Dhaka,4,79698,6134.93,88.86,12,4,3,5,58,1,10,2,43,No
56,Male,Masters,Rajshahi,12,120024,12255.6,90.39,15,19,4,4,58,3,2,7,23,No
40,Female,Bachelors,Sylhet,7,51520,9773.54,83.04,19,13,0,1,91,3,6,1,6,Yes
37,Male,Bachelors,Khulna,8,134641,9682.52,89.26,10,1,2,1,56,1,4,10,43,Yes
24,Male,Bachelors,Rajshahi,7,139123,20153.38,80.92,6,21,2,4,34,3,2,8,13,No
41,Female,High School,Khulna,6,40784,5666.66,78.58,5,19,3,4,36,3,1,3,12,No
45,Female,Bachelors,Khulna,9,142446,9702.1,84.35,7,15,0,4,21,0,8,9,25,Yes
54,Female,High School,Sylhet,9,63079,6238.31,93.48,22,20,4,2,32,1,5,5,42,Yes
45,Male,Bachelors,Sylhet,11,69220,9306.44,97.9,18,15,0,4,26,1,10,7,42,No
32,Male,Masters,Dhaka,13,45491,3551.79,86.44,21,25,0,3,53,2,2,7,1,No
29,Male,PhD,Barisal,7,137878,23452.16,91.07,6,11,3,5,80,0,8,9,45,No
57,Male,Bachelors,Chittagong,8,141583,27725.28,77.58,23,23,4,4,33,0,3,2,46,Yes
59,Male,Bachelors,Rajshahi,6,73720,6060.81,97.61,13,27,2,2,80,3,7,4,22,Yes
41,Female,Bachelors,Sylhet,1,125804,9817.34,89.22,12,5,1,3,69,2,2,8,27,No
56,Male,Masters,Rajshahi,1,39718,4696.27,94.51,14,24,4,2,62,2,7,5,0,Yes
46,Female,Bachelors,Barisal,6,60597,9826.7,94.86,13,22,2,2,96,0,4,5,31,No
56,Other,High School,Barisal,2,86217,7952.66,81.41,12,10,3,2,83,2,10,3,11,No
46,Female,High School,Khulna,14,123351,6535.38,88.23,11,18,4,2,25,0,1,5,45,Yes
50,Female,Bachelors,Chittagong,8,125668,16485.52,99.01,10,7,4,1,34,2,5,7,49,No
39,Female,Bachelors,Dhaka,1,51832,10028.98,77.24,6,1,2,5,75,0,4,4,34,Yes
39,Male,Masters,Rajshahi,13,79818,8675.54,92.08,13,3,2,1,59,0,8,8,25,No
23,Male,Bachelors,Chittagong,2,122398,13833.44,99.06,13,28,0,3,78,3,1,6,30,No
56,Male,Bachelors,Dhaka,8,37864,7396.17,82.51,23,1,0,1,87,3,2,6,11,Yes
37,Female,Bachelors,Rajshahi,12,113378,17481.88,96.54,13,17,4,3,49,2,5,6,28,No
57,Female,High School,Chittagong,6,148633,23465.55,98.34,6,15,1,4,15,3,10,4,4,No
54,Male,Masters,Sylhet,12,33177,4459.16,93.68,23,5,3,3,73,1,10,3,34,Yes
25,Female,Masters,Rajshahi,10,71115,13952.15,80.78,20,22,2,1,37,1,2,10,6,No
54,Female,PhD,Chittagong,2,147318,22588.26,83.35,18,16,0,1,18,2,1,6,15,No
35,Male,Masters,Barisal,2,131235,24180.69,75.9,24,12,3,3,15,0,6,6,31,No
42,Other,High School,Dhaka,11,81210,12579.98,95.79,5,19,4,1,26,3,10,2,16,Yes
41,Male,High School,Chittagong,14,76954,12333.22,96.24,17,14,2,3,49,2,4,10,20,No
29,Male,Bachelors,Sylhet,7,136145,12737.95,90.82,6,3,2,2,85,1,5,9,26,No
28,Female,Masters,Rajshahi,5,36844,3519.41,83.81,18,19,0,5,54,0,3,4,39,Yes
24,Male,High School,Rajshahi,5,99130,16599.09,76.92,5,1,1,3,91,3,10,4,46,Yes
38,Female,High School,Rajshahi,8,38418,3630.73,93.83,19,21,2,2,52,0,6,10,14,No
54,Male,Masters,Sylhet,12,59854,8045.31,93.16,22,1,1,2,55,0,4,8,22,No
33,Male,High School,Dhaka,12,113644,9932.81,97.82,13,26,3,2,72,3,6,3,7,Yes
43,Other,Bachelors,Rajshahi,7,100955,17419.53,93.26,12,10,2,2,10,3,5,10,24,No
43,Male,Bachelors,Dhaka,12,113075,7527.99,95.72,11,3,2,3,68,1,2,7,10,Yes
51,Male,Bachelors,Chittagong,14,134906,23529.9,93.65,13,13,1,1,72,1,4,7,20,No
59,Male,High School,Barisal,9,68950,9681.23,90.77,13,6,0,2,88,0,2,2,9,No
59,Female,Masters,Barisal,4,90227,7040.99,85.67,15,11,4,4,27,0,5,3,49,Yes
29,Male,Bachelors,Dhaka,10,37835,4967.94,97.55,8,6,3,2,95,1,3,4,8,No
48,Male,PhD,Dhaka,4,42533,3928.98,91.27,11,3,2,1,91,1,6,2,47,Yes
48,Male,Bachelors,Barisal,2,139750,13768.18,84.96,11,16,0,1,74,0,5,9,0,No
55,Male,High School,Rajshahi,3,120051,12332.74,77.09,8,9,2,5,29,2,2,10,21,Yes
42,Female,Masters,Khulna,1,126457,7523.92,82.27,16,8,3,5,65,2,10,6,5,No
51,Female,Bachelors,Khulna,1,132504,26221.78,88.59,21,27,4,2,63,2,8,1,29,No
54,Male,Bachelors,Sylhet,7,112858,6176.74,81.89,24,3,2,2,57,3,6,1,33,Yes
49,Female,Masters,Barisal,14,35223,5261.42,80.53,7,5,1,5,63,1,9,8,12,No
54,Male,Bachelors,Barisal,14,149202,15768.29,88.18,13,21,0,2,98,2,3,6,21,Yes
26,Other,Bachelors,Sylhet,5,35273,5181.66,79.25,9,14,4,4,25,2,4,10,5,No
40,Other,High School,Khulna,3,58519,6053.04,95.01,24,5,2,3,29,1,8,7,40,No
25,Male,Bachelors,Chittagong,7,49160,7426.24,87.11,20,19,4,5,56,3,7,6,45,No
