Age,Gender,Educational Qualification,Location,Tenure,Monthly Salary,Incentive Earnings,Attendance %,Leave Utilization,Distance from Workplace,Number of Transfers,Performance Rating,Training Hours,Promotion History,Manager Effectiveness Score,Employee Engagement Score,Overtime Hours,Previous Attrition Label
29,Female,High School,Dhaka,1,148394,20268.92,80.75,5,24,3,2,86,3,7,8,0,No
46,Female,Masters,Chittagong,8,88785,16405.91,96.5,18,5,3,2,20,2,7,7,45,Yes
40,Male,Masters,Dhaka,12,45783,7924.74,83.09,20,7,3,5,76,0,2,1,0,Yes
52,Male,Bachelors,Sylhet,12,58569,9577.6,83.11,5,28,0,5,44,3,10,5,24,No
48,Male,High School,Khulna,2,97061,7553.07,83.78,6,11,4,4,87,0,1,8,29,Yes
38,Female,Bachelors,Sylhet,6,81903,6626.36,77.11,15,26,3,2,17,2,6,2,39,Yes
49,Male,Bachelors,Dhaka,8,51814,4075.38,95.7,18,1,3,2,81,0,7,1,34,No
35,Other,Masters,Barisal,12,54198,7488.46,85.83,5,25,0,1,97,3,7,5,36,No
22,Male,Bachelors,Rajshahi,11,36514,6106.68,77.3,17,26,0,5,33,2,6,3,23,No
33,Male,Bachelors,Chittagong,6,57877,7130.93,88.11,15,11,4,1,76,1,6,5,34,No
47,Male,Masters,Sylhet,8,103108,17308.46,93.45,11,23,1,1,53,3,9,6,33,No
58,Female,Masters,Sylhet,2,143987,18777.72,82.73,12,11,0,5,83,0,2,5,34,No
51,Male,Masters,Chittagong,12,88702,8591.55,94.63,21,26,0,1,78,0,2,5,24,Yes
40,Male,Bachelors,Rajshahi,3,32260,1966.56,86.9,9,23,0,1,40,3,10,7,9,No
56,Male,PhD,Chittagong,10,135544,20365.48,85.49,8,20,3,5,84,3,4,4,29,No
41,Female,Bachelors,Khulna,13,118126,22633.65,84.89,8,15,0,4,65,1,5,9,22,No
22,Male,Bachelors,Sylhet,6,28676,3068.89,76.96,18,7,2,3,52,0,9,9,4,No
38,Male,Masters,Rajshahi,8,85060,9638.06,92.89,11,15,0,5,79,0,1,1,14,No
46,Female,Masters,Sylhet,9,60324,7075.31,94.11,12,8,2,4,55,3,5,8,9,No
31,Female,Masters,Rajshahi,12,115176,12972.34,83.42,9,19,1,4,63,1,9,6,3,No
47,Male,High School,Chittagong,10,145751,24065.89,77.74,20,25,0,2,59,2,7,6,42,Yes
55,Male,PhD,Barisal,13,135620,24135.79,94.0,14,16,4,1,44,3,6,4,42,Yes
31,Female,Masters,Rajshahi,5,99547,8912.95,78.1,14,12,0,3,46,0,2,8,44,Yes
44,Other,Bachelors,Sylhet,12,33184,5624.08,86.56,10,14,1,2,11,1,7,2,11,No
31,Female,Bachelors,Khulna,8,57178,5838.3,78.98,24,4,1,3,65,3,2,6,14,No
28,Male,Bachelors,Khulna,8,119340,11867.02,77.07,23,7,3,1,44,0,6,5,5,No
29,Male,Masters,Khulna,1,67507,4722.24,91.32,17,19,0,4,16,2,8,9,13,No
53,Male,Masters,Khulna,6,15074,1074.73,78.2,9,29,2,3,32,2,9,9,11,Yes
35,Female,Bachelors,Sylhet,3,101304,13213.69,97.73,5,16,1,4,24,3,9,6,47,Yes
58,Female,Bachelors,Chittagong,3,70467,5843.36,82.79,6,7,1,3,67,1,8,8,31,No
26,Male,Bachelors,Barisal,5,54250,3297.92,94.41,16,28,2,4,99,0,10,5,17,No
25,Male,Bachelors,Dhaka,3,89352,14002.54,84.62,15,10,3,2,49,1,7,4,33,No
42,Male,Masters,Sylhet,9,33420,4069.99,94.22,8,20,1,1,93,0,3,10,0,No
40,Male,Masters,Chittagong,12,92190,8033.57,93.21,8,29,0,1,86,2,10,9,3,Yes
48,Male,High School,Chittagong,3,29766,2896.87,81.48,10,15,4,4,32,3,9,9,29,No
40,Female,Bachelors,Rajshahi,1,83367,4497.44,95.91,17,4,2,3,21,0,6,3,40,No
55,Male,High School,Chittagong,14,93486,7870.71,97.83,17,8,1,4,39,3,1,6,45,Yes
32,Male,Bachelors,Rajshahi,4,113564,11525.24,90.29,16,20,4,5,37,3,7,1,6,No
48,Female,Masters,Dhaka,4,68613,12797.69,91.24,11,16,3,3,48,3,9,9,2,No
23,Female,High School,Chittagong,5,15175,1035.1,93.48,14,16,2,1,94,1,1,3,11,Yes
34,Male,High School,Dhaka,10,23165,1851.51,78.03,12,20,3,3,10,1,5,7,25,No
38,Male,Bachelors,Barisal,11,109671,12322.03,95.88,23,24,4,4,75,1,2,8,26,No
27,Male,Bachelors,Dhaka,7,18012,2228.43,98.11,20,11,1,1,72,3,2,7,41,Yes
34,Male,Bachelors,Sylhet,13,147563,18154.88,81.23,12,3,1,3,83,0,9,10,20,No
52,Other,PhD,Dhaka,5,41535,5134.68,88.52,5,10,4,5,30,1,9,10,17,No
30,Female,Bachelors,Barisal,10,31756,5648.21,97.13,11,11,2,2,31,3,2,5,46,Yes
51,Male,Masters,Dhaka,12,141938,23496.15,91.68,10,28,3,3,82,2,3,2,14,No
27,Female,PhD,Chittagong,1,89643,16615.54,88.01,15,16,4,2,11,3,1,4,32,Yes
37,Male,Masters,Barisal,13,128152,15624.61,93.56,14,29,0,3,93,3,6,1,25,No
42,Male,Bachelors,Dhaka,4,57885,4179.48,78.42,8,11,4,1,25,3,2,10,7,Yes
59,Female,Bachelors,Sylhet,6,109016,14314.92,91.99,19,9,3,1,41,1,3,4,14,No
49,Male,Bachelors,Rajshahi,2,117444,13357.95,93.45,6,5,1,4,11,1,8,4,34,No
43,Male,Bachelors,Chittagong,4,132748,17473.25,91.03,20,29,1,3,91,0,3,3,6,No
29,Male,Bachelors,Sylhet,5,132133,24824.16,94.19,21,10,0,2,39,3,5,5,26,No
27,Female,High School,Barisal,2,103032,17438.75,83.07,16,16,4,3,75,3,1,4,6,No
55,Female,Bachelors,Sylhet,3,90728,14477.5,86.13,12,7,3,2,55,2,2,1,42,Yes
35,Male,Bachelors,Khulna,6,142821,25788.65,91.15,24,23,2,5,90,0,6,9,36,No
54,Male,Bachelors,Sylhet,9,83190,6782.49,75.85,9,28,1,4,94,2,3,9,9,No
41,Male,Masters,Rajshahi,1,79147,5043.59,79.38,12,19,1,5,92,3,6,3,46,Yes
52,Female,Masters,Sylhet,14,20273,3549.26,83.57,24,13,0,1,53,0,2,9,13,Yes
53,Male,Masters,Khulna,12,65437,8750.92,92.82,10,9,3,4,52,3,9,8,41,Yes
53,Other,Bachelors,Khulna,5,44580,8201.91,95.45,24,9,4,4,26,2,10,7,6,No
50,Male,Masters,Sylhet,1,98568,8773.62,85.15,15,24,2,1,90,1,9,3,15,No
40,Male,Bachelors,Dhaka,3,125663,15291.99,85.37,7,5,4,5,15,3,9,5,44,Yes
51,Female,PhD,Barisal,5,108741,21176.96,91.39,6,19,1,1,54,1,3,8,30,No
31,Female,Bachelors,Barisal,8,118377,10816.18,87.17,9,28,3,3,52,1,7,1,18,No
24,Female,Bachelors,Khulna,5,52606,7626.03,85.54,7,11,0,2,16,1,4,4,43,Yes
27,Male,High School,Chittagong,13,98617,16898.4,92.28,21,12,0,4,34,3,4,5,32,No
51,Male,Bachelors,Rajshahi,9,63561,7114.83,81.03,7,26,1,1,59,3,8,3,35,Yes
58,Female,Bachelors,Rajshahi,14,87268,11776.0,82.2,10,7,4,1,76,3,3,2,0,No
54,Female,Bachelors,Barisal,8,29881,4651.13,88.39,17,22,2,2,96,3,6,10,24,No
58,Female,Bachelors,Sylhet,3,110833,21201.07,82.29,15,1,0,5,60,2,5,9,15,No
57,Female,High School,Chittagong,8,142593,22553.07,96.37,19,14,0,1,43,0,8,4,17,No
43,Male,Masters,Chittagong,4,112901,6272.06,90.61,12,11,1,1,22,3,7,8,42,Yes
38,Male,Bachelors,Barisal,1,93867,5455.68,97.85,17,6,2,5,99,0,9,6,14,No
34,Female,Bachelors,Dhaka,12,73451,13223.24,91.02,19,15,1,5,14,0,1,9,7,Yes
40,Male,High School,Dhaka,3,20313,1408.66,95.4,18,19,4,2,80,1,8,10,47,Yes
39,Female,Bachelors,Chittagong,6,122907,12675.37,85.92,18,7,4,5,94,3,10,3,20,No
24,Male,Bachelors,Barisal,3,80965,8219.71,96.61,24,3,4,2,85,0,2,8,28,Yes
22,Male,High School,Barisal,1,46940,8386.53,90.93,9,24,0,2,58,2,3,10,42,Yes
30,Female,Bachelors,Khulna,7,80161,13569.34,96.05,9,9,4,2,56,3,6,10,19,No
27,Female,Bachelors,Chittagong,5,121689,17173.15,76.28,14,22,2,1,23,1,5,8,36,No
59,Male,Masters,Dhaka,3,45692,3777.39,91.88,9,10,4,5,60,0,7,1,23,No
43,Other,Bachelors,Rajshahi,1,132877,12936.63,95.13,10,19,3,2,32,1,7,3,6,No
52,Male,High School,Barisal,11,105416,17543.5,77.19,19,16,3,3,11,3,10,4,13,No
50,Female,Bachelors,Chittagong,13,17560,3505.87,84.05,7,9,0,3,20,2,10,8,38,No
30,Female,Bachelors,Barisal,5,145227,25572.27,81.92,7,27,3,2,67,3,5,10,46,Yes
49,Female,Bachelors,Sylhet,6,87192,8446.77,89.82,6,5,1,5,94,3,1,4,42,Yes
34,Female,Masters,Barisal,13,25503,2520.93,82.18,12,22,0,3,89,1,3,4,43,Yes
38,Female,Bachelors,Rajshahi,7,99203,19349.39,97.14,6,2,3,3,51,0,10,7,36,No
49,Female,PhD,Chittagong,6,26065,3320.02,82.68,11,8,1,5,20,0,9,2,4,No
56,Female,Masters,Sylhet,7,147721,23025.09,81.14,16,19,2,5,32,3,6,8,13,No
29,Female,Bachelors,Barisal,14,18595,1494.74,77.86,18,17,1,1,77,0,3,7,35,Yes
58,Female,High School,Khulna,2,110435,18719.91,80.45,14,29,1,3,43,3,6,9,4,No
29,Male,Bachelors,Rajshahi,9,56029,10362.68,75.89,21,4,1,1,88,3,5,3,21,No
46,Male,Bachelors,Dhaka,7,58258,3534.31,83.0,7,10,4,1,10,3,1,7,10,Yes
53,Other,PhD,Barisal,9,80874,15382.74,88.55,24,20,0,5,32,3,5,2,38,No
48,Other,Bachelors,Rajshahi,2,23629,4598.58,87.88,7,13,4,4,35,3,5,7,41,Yes
36,Male,Bachelors,Khulna,5,105459,9657.98,88.24,8,2,3,4,20,3,2,3,15,Yes
44,Male,Bachelors,Chittagong,6,32854,5158.65,95.16,8,6,0,5,91,1,3,3,8,No
25,Male,Masters,Khulna,11,104751,20527.96,83.26,23,13,3,4,72,3,6,1,42,Yes
33,Male,High School,Sylhet,13,64022,12557.62,91.46,6,4,2,5,65,2,4,2,46,Yes
33,Male,Masters,Rajshahi,8,70171,12469.28,98.93,5,8,1,5,86,3,4,10,7,No
53,Male,High School,Barisal,12,134595,13832.7,76.42,18,28,4,3,67,3,10,10,27,No
42,Female,PhD,Sylhet,13,86755,7217.76,80.6,13,6,0,5,93,3,4,10,39,No
32,Female,High School,Khulna,8,145682,15548.97,93.6,18,8,3,2,68,3,9,2,16,No
46,Male,High School,Dhaka,3,40632,2517.89,92.97,17,23,2,5,61,0,2,8,11,Yes
40,Male,Masters,Rajshahi,11,65355,4606.55,98.06,19,8,0,1,14,2,6,2,10,No
55,Male,Masters,Dhaka,3,50296,5496.7,94.69,10,10,3,1,73,1,9,10,29,No
57,Male,Bachelors,Barisal,9,95670,18954.97,75.91,11,28,3,2,70,0,7,5,46,Yes
51,Female,Masters,Khulna,7,78978,7150.29,75.5,15,12,1,4,63,2,8,4,0,No
58,Male,Bachelors,Chittagong,9,53543,9018.72,86.54,14,9,2,1,66,0,9,5,45,Yes
26,Male,Bachelors,Chittagong,10,141948,27846.09,78.53,19,2,4,3,12,2,5,8,10,No
29,Male,Masters,Chittagong,9,108394,21135.89,99.52,11,7,3,1,74,3,6,5,31,No
40,Male,Bachelors,Khulna,2,108098,21356.64,81.2,24,19,3,3,62,2,4,2,11,No
32,Male,High School,Rajshahi,13,73246,11007.28,99.51,18,7,0,3,11,1,9,4,24,No
36,Female,Bachelors,Khulna,12,33300,5805.07,86.06,23,17,1,5,47,1,1,4,1,Yes
59,Female,High School,Barisal,11,143941,22917.34,97.96,19,4,3,4,91,1,7,5,44,Yes
23,Female,Bachelors,Khulna,1,123768,9622.19,78.34,16,25,4,4,10,3,2,5,18,Yes
37,Female,High School,Dhaka,2,97235,9508.24,85.56,24,18,2,2,77,2,4,6,25,No
43,Female,Masters,Dhaka,7,123363,14046.24,94.42,7,27,3,1,11,0,3,9,6,Yes
38,Male,Bachelors,Dhaka,7,52825,8427.55,81.32,12,5,3,3,41,0,8,6,16,No
33,Male,Masters,Rajshahi,8,80488,14384.91,97.26,23,8,3,5,34,1,6,9,9,No
35,Male,Bachelors,Dhaka,11,136866,7509.19,95.0,12,11,2,4,88,1,6,3,16,No
29,Male,Bachelors,Khulna,11,19268,1676.33,94.53,15,27,1,1,76,2,2,5,20,Yes
38,Female,Bachelors,Sylhet,6,68686,8051.67,90.4,5,3,2,1,24,3,9,10,30,No
53,Female,High School,Khulna,7,67388,7274.7,76.67,5,23,0,5,89,1,1,8,14,Yes
51,Male,Bachelors,Sylhet,8,98373,9391.78,75.39,24,10,2,2,71,0,5,10,39,No
25,Female,Bachelors,Rajshahi,12,85710,12069.34,95.6,24,28,4,4,68,0,8,9,2,No
47,Female,Masters,Barisal,3,107839,16207.18,93.24,20,21,0,1,81,3,5,2,36,No
51,Male,Bachelors,Khulna,7,126789,8982.43,85.65,16,28,0,5,41,3,2,4,26,Yes
34,Male,Bachelors,Chittagong,5,138349,9033.1,82.44,8,4,2,2,22,3,9,1,14,No
40,Male,High School,Rajshahi,10,79215,6017.94,84.29,10,18,3,1,51,0,3,3,30,No
22,Male,Bachelors,Barisal,8,148005,22092.21,78.71,5,8,2,3,36,2,9,3,24,No
25,Female,Masters,Khulna,11,95255,11015.25,91.12,18,26,2,3,78,3,2,8,32,Yes
43,Male,High School,Rajshahi,14,103540,15336.68,86.67,8,17,3,3,96,1,3,2,27,No
26,Male,High School,Dhaka,2,106297,7583.43,97.82,15,12,2,5,25,3,1,7,44,Yes
29,Other,High School,Khulna,11,134787,17434.04,81.76,12,21,0,5,67,0,6,4,15,No
58,Female,Masters,Sylhet,8,97529,18664.8,96.44,5,3,2,1,70,0,6,1,19,No
30,Female,Masters,Barisal,14,69193,4156.59,87.33,21,18,2,1,92,0,5,2,37,No
30,Other,Bachelors,Barisal,2,36977,2981.92,97.25,11,29,0,3,32,2,9,10,13,No
45,Male,High School,Dhaka,13,123295,16884.27,94.19,23,26,2,1,19,3,8,8,45,Yes
31,Female,Bachelors,Khulna,2,94608,10454.63,80.59,10,9,2,4,39,0,4,3,33,No
26,Female,Masters,Dhaka,8,47561,8784.67,92.86,24,2,4,4,56,3,8,5,4,No
30,Other,High School,Chittagong,3,67030,12353.19,97.33,12,18,4,1,19,0,6,9,26,No
59,Female,Bachelors,Chittagong,8,77816,13430.47,84.46,12,18,4,3,29,3,7,10,3,No
43,Female,High School,Chittagong,13,134117,17958.97,82.21,6,13,0,1,82,0,1,1,20,Yes
49,Other,High School,Sylhet,4,58488,11121.23,81.47,17,1,1,1,60,2,8,6,15,No
25,Male,Masters,Rajshahi,14,27245,3520.4,79.38,18,27,3,3,35,3,3,5,35,No
33,Male,Bachelors,Barisal,10,83604,14919.18,77.09,7,26,4,1,45,1,4,5,11,Yes
37,Male,Masters,Dhaka,6,111712,13812.87,98.35,16,24,4,2,65,3,7,4,40,No
55,Female,Bachelors,Dhaka,3,85773,5980.58,87.62,21,17,4,1,86,2,4,6,3,No
53,Female,Bachelors,Chittagong,10,67159,9406.68,80.87,14,11,3,5,23,2,4,5,15,No
37,Male,Bachelors,Barisal,12,26242,1801.89,96.27,18,12,0,1,52,3,9,6,36,No
24,Male,Bachelors,Rajshahi,13,25805,1547.73,76.43,12,19,0,2,34,3,10,5,21,No
55,Female,High School,Chittagong,3,44925,3357.44,92.62,17,15,0,3,27,1,3,5,39,No
37,Female,High School,Dhaka,14,109662,5894.68,88.86,22,18,4,4,45,0,5,3,47,Yes
26,Male,Bachelors,Sylhet,10,121867,11533.23,92.72,10,23,1,1,16,1,4,8,45,Yes
56,Male,Bachelors,Dhaka,11,61058,6608.37,82.15,17,27,0,4,69,0,1,2,7,Yes
53,Female,Bachelors,Khulna,14,50446,4277.97,88.43,19,8,4,2,50,3,7,5,42,Yes
28,Male,Masters,Khulna,2,17169,1471.11,85.23,21,26,4,5,66,0,10,7,9,Yes
22,Male,Bachelors,Sylhet,14,52403,3566.47,87.32,24,7,2,2,14,2,3,10,12,No
45,Female,Masters,Sylhet,11,57549,6882.95,75.63,9,2,4,2,13,3,4,4,14,No
36,Male,Bachelors,Khulna,7,40445,4333.7,85.08,7,4,3,1,69,1,3,4,12,No
29,Male,High School,Barisal,6,43869,7632.69,90.66,6,7,4,2,15,0,7,6,2,No
26,Female,Bachelors,Rajshahi,10,33234,1891.24,80.67,5,25,0,2,75,0,10,8,29,No
30,Male,Masters,Sylhet,12,26588,2290.92,75.24,12,10,3,2,70,3,10,7,19,No
58,Female,Bachelors,Dhaka,6,111120,15077.11,79.71,20,4,0,3,92,3,2,5,47,Yes
23,Male,Bachelors,Khulna,10,75111,4139.89,78.78,14,19,3,2,48,3,6,3,2,No
41,Male,Bachelors,Rajshahi,9,84995,14287.28,99.44,11,14,3,3,70,3,8,3,9,No
44,Male,Bachelors,Barisal,5,24921,2147.17,86.37,23,20,2,5,60,2,9,6,37,No
35,Female,Bachelors,Chittagong,10,145256,18621.69,76.16,24,7,3,5,16,2,8,10,16,No
28,Female,High School,Chittagong,13,50828,8857.44,92.44,7,16,0,3,39,3,1,7,18,Yes
43,Female,Bachelors,Rajshahi,12,147930,12022.16,98.06,9,1,0,3,72,3,2,7,5,Yes
51,Male,Bachelors,Sylhet,7,56631,3263.46,92.21,16,25,4,2,19,2,4,4,44,Yes
36,Male,Bachelors,Chittagong,13,60311,8855.51,89.36,15,11,2,3,22,1,6,1,19,No
33,Male,Bachelors,Sylhet,2,31958,2082.91,97.73,15,27,2,3,15,1,7,1,26,No
32,Male,High School,Chittagong,12,43047,4502.92,93.27,8,19,0,1,36,3,8,2,31,No
43,Other,Bachelors,Dhaka,11,33005,5307.52,99.48,12,16,0,3,96,1,6,5,32,No
49,Female,High School,Chittagong,2,72083,4804.04,86.93,16,25,2,4,20,3,9,10,13,No
45,Female,Masters,Sylhet,5,21337,3482.2,88.05,5,10,4,3,20,1,3,10,42,Yes
44,Male,Bachelors,Chittagong,9,102920,7140.1,76.22,24,21,4,1,24,0,2,8,18,Yes
32,Male,Bachelors,Chittagong,8,116433,20081.68,92.24,8,21,3,3,71,3,6,5,12,No
55,Male,Masters,Sylhet,3,33055,3734.95,81.43,6,4,0,5,89,3,8,9,43,Yes
40,Male,High School,Chittagong,5,28982,2532.74,96.26,23,25,0,3,31,0,8,4,35,No
25,Male,Bachelors,Chittagong,7,137247,7107.43,80.23,21,8,4,5,33,1,3,2,42,Yes
48,Female,PhD,Chittagong,6,95513,7263.93,97.06,20,17,0,5,21,0,4,10,45,Yes
42,Female,Bachelors,Khulna,6,116836,10617.39,87.45,15,11,1,3,68,2,10,3,45,Yes
42,Other,Bachelors,Khulna,10,62215,11660.15,78.81,14,8,4,5,78,1,7,2,47,Yes
48,Female,Bachelors,Rajshahi,13,123558,19715.68,82.52,8,16,0,3,98,2,8,3,33,No
25,Female,Masters,Chittagong,7,146794,21198.75,87.64,5,29,4,3,47,1,6,2,16,No
57,Male,Masters,Dhaka,7,62509,10312.78,90.04,8,13,4,5,57,3,3,7,22,No
34,Female,Masters,Dhaka,5,83926,8525.28,90.32,9,14,0,5,56,1,1,3,17,Yes
41,Male,Bachelors,Khulna,9,53894,3070.52,80.15,13,12,4,4,84,3,7,3,37,No
53,Female,Masters,Sylhet,14,42695,3366.86,78.98,20,18,4,1,92,0,1,4,12,Yes
27,Male,PhD,Dhaka,8,49652,6474.85,81.52,22,6,3,3,93,3,3,1,11,No
44,Male,Bachelors,Chittagong,6,105241,14206.06,99.04,6,18,3,3,91,2,1,8,3,Yes
45,Male,Masters,Sylhet,12,48696,8222.17,87.16,20,22,4,5,42,3,10,9,3,No
41,Male,Masters,Rajshahi,5,133390,17776.1,80.24,22,20,4,2,95,2,4,4,19,No
54,Male,Masters,Chittagong,1,117710,9261.81,81.45,7,2,4,1,68,3,10,1,18,No
24,Female,Bachelors,Chittagong,11,56360,6991.24,78.2,21,23,0,1,42,2,5,8,28,No
41,Female,Bachelors,Dhaka,5,90132,11461.53,86.0,6,10,2,1,11,2,9,8,6,No
25,Female,Masters,Rajshahi,5,118187,17051.48,98.95,19,5,2,3,55,1,8,2,34,No
39,Other,Bachelors,Rajshahi,4,79711,9196.66,98.23,20,12,1,4,47,2,4,5,4,No
23,Male,High School,Khulna,4,32922,6109.5,86.62,7,7,1,2,99,1,2,4,29,Yes
26,Male,High School,Rajshahi,1,19941,1268.63,79.63,11,21,3,5,90,1,1,7,4,Yes
52,Male,Masters,Chittagong,4,28976,5256.33,77.19,13,9,0,3,37,3,9,6,47,Yes
55,Male,Bachelors,Sylhet,4,126047,8227.76,96.6,9,24,0,2,50,2,7,2,15,No
50,Male,Bachelors,Sylhet,12,103027,12101.18,75.62,8,3,0,3,67,3,7,7,23,No
30,Female,Bachelors,Sylhet,1,107841,7773.91,79.85,19,28,2,5,71,3,5,10,41,Yes
40,Female,Masters,Barisal,8,31508,2563.71,84.13,5,21,1,3,60,1,10,9,20,No
37,Male,Bachelors,Chittagong,13,103815,13797.88,99.19,22,5,1,3,54,1,1,5,2,Yes
42,Male,Bachelors,Barisal,9,18493,2178.01,76.46,21,8,2,5,30,1,5,3,47,Yes
44,Female,High School,Chittagong,1,67933,12849.62,77.94,14,9,4,1,33,2,6,5,12,No
24,Male,PhD,Sylhet,12,65710,7478.31,75.46,17,16,1,1,82,1,8,9,33,No
50,Male,High School,Chittagong,13,94739,15573.18,87.66,23,7,1,2,85,2,2,4,17,Yes
47,Male,Bachelors,Rajshahi,14,114835,5953.25,78.71,12,15,2,4,37,3,1,9,3,Yes
52,Female,Bachelors,Rajshahi,3,66830,12761.07,98.42,12,3,4,3,90,1,8,10,11,No
43,Male,Bachelors,Chittagong,12,148057,26759.13,78.3,10,5,2,1,86,0,1,3,14,Yes
44,Female,Bachelors,Rajshahi,4,25175,4672.42,94.46,20,22,3,3,63,3,10,1,15,No
27,Female,Bachelors,Sylhet,2,129781,18612.72,93.54,19,12,0,2,51,1,2,3,7,Yes
24,Female,Bachelors,Barisal,12,15102,2539.08,76.17,17,7,3,5,26,1,3,7,2,No
27,Female,High School,Dhaka,4,72740,10156.59,94.16,13,7,0,3,58,2,4,7,45,Yes
55,Female,Bachelors,Chittagong,14,65451,6042.39,93.52,5,4,3,5,55,3,10,1,46,Yes
47,Female,High School,Chittagong,3,43655,4540.36,80.94,15,6,0,1,55,3,6,9,35,No
50,Male,Masters,Barisal,2,104465,9538.98,87.44,14,23,4,2,15,1,4,6,34,No
53,Male,Masters,Barisal,7,127486,13595.23,90.83,13,26,2,5,51,2,7,10,1,No
37,Male,Masters,Dhaka,1,67992,13077.35,91.69,22,12,3,3,45,3,10,5,42,Yes
41,Male,Masters,Barisal,1,104598,8144.17,93.43,10,10,4,3,37,0,9,9,37,No
53,Female,Bachelors,Dhaka,12,108355,7330.28,95.01,14,8,3,3,50,2,1,4,47,Yes
59,Male,High School,Rajshahi,13,111562,20116.21,77.65,18,2,1,5,82,3,6,5,17,No
49,Male,Bachelors,Dhaka,11,141749,17015.53,92.38,6,19,3,4,69,2,2,10,29,Yes
59,Male,Bachelors,Rajshahi,4,133966,25473.45,96.92,10,6,0,2,25,3,5,2,35,No
24,Male,Masters,Rajshahi,8,35883,5268.14,93.09,24,22,2,2,41,1,6,4,0,No
